,precision,recall,f1-score,support
banana,0.9906542056074766,0.9792147806004619,0.9849012775842044,433.0
barley,0.7505882352941177,0.7367205542725174,0.7435897435897436,433.0
basil,0.7139830508474576,0.7782909930715936,0.7447513812154696,433.0
berseem,0.7380410022779044,0.7482678983833718,0.7431192660550459,433.0
cabbage,0.6643518518518519,0.6628175519630485,0.6635838150289017,433.0
citrus,0.7292110874200426,0.7880184331797235,0.7574750830564784,434.0
coriander,0.6730769230769231,0.5658198614318707,0.6148055207026348,433.0
cotton,0.7188940092165899,0.7205542725173211,0.7197231833910035,433.0
cucumber,0.8198614318706697,0.8160919540229885,0.8179723502304147,435.0
cumin,0.6027027027027027,0.5150115473441108,0.5554171855541719,433.0
date_palm,0.9493670886075949,0.8640552995391705,0.9047044632086851,434.0
eggplant,0.7026431718061674,0.7350230414746544,0.7184684684684685,434.0
faba_bean,0.5920303605313093,0.7205542725173211,0.65,433.0
garlic,0.65,0.6304849884526559,0.6400937866354045,433.0
grapes,0.7750556792873051,0.8036951501154734,0.7891156462585034,433.0
lentil,0.6882217090069284,0.6882217090069284,0.6882217090069284,433.0
maize,0.8701298701298701,0.9284064665127021,0.8983240223463688,433.0
mango,0.7113636363636363,0.7211981566820277,0.7162471395881007,434.0
mint,0.918918918918919,0.8617511520737328,0.8894173602853745,434.0
olive,0.8768844221105527,0.8060046189376443,0.8399518652226233,433.0
onion,0.6225596529284165,0.6597701149425287,0.640625,435.0
pepper,0.7599009900990099,0.7090069284064665,0.7335722819593787,433.0
pomegranate,0.7164835164835165,0.7528868360277137,0.7342342342342343,433.0
potato,0.9101382488479263,0.9122401847575058,0.9111880046136102,433.0
rice,0.9029649595687331,0.771889400921659,0.8322981366459627,434.0
sugar_beet,0.6252545824847251,0.7090069284064665,0.6645021645021645,433.0
tomato_summer,0.9513888888888888,0.9491916859122402,0.9502890173410404,433.0
tomato_winter,0.8968824940047961,0.8637413394919169,0.88,433.0
watermelon,0.8919540229885058,0.8960739030023095,0.8940092165898618,433.0
wheat,0.8240534521158129,0.8545034642032333,0.8390022675736961,433.0
accuracy,0.7716153846153846,0.7716153846153846,0.7716153846153846,0.7716153846153846
macro avg,0.7745853388446118,0.7716171162723787,0.7719867863629493,13000.0
weighted avg,0.7745894509710608,0.7716153846153846,0.7719880123235711,13000.0
